lat,lon,year,salinity,ph,Cruise,Date,Cst_Cnt
30.163333,-122.936666,2000,33.55,,200004,04/10/2000,29418
30.178333,-122.926666,2000,33.54,,200010,10/15/2000,29550
30.42,-124.008333,2000,33.33,,200007,07/02/2000,29486
30.42,-123.998333,2000,33.48,,200001,01/11/2000,29354
30.42,-123.998333,2000,33.48,,200010,10/16/2000,29552
30.421666,-123.993333,2000,33.68,,200004,04/11/2000,29420
30.513333,-122.265,2000,33.54,,200001,01/10/2000,29351
30.52,-122.26,2000,33.65,,200007,07/02/2000,29483
30.748333,-123.335,2000,33.51,,200001,01/11/2000,29355
30.75,-123.331666,2000,33.6,,200004,04/11/2000,29421
30.751666,-123.33,2000,33.41,,200010,10/16/2000,29553
30.851666,-121.588333,2000,33.45,,200004,04/10/2000,29416
30.853333,-121.588333,2000,33.4,,200007,07/01/2000,29482
31.086666,-122.665,2000,33.38,,200004,04/11/2000,29422
31.086666,-122.66,2000,33.47,,200010,10/16/2000,29554
31.185,-120.926666,2000,33.62,,200010,10/15/2000,29547
31.186666,-120.92,2000,33.41,,200004,04/09/2000,29415
31.323333,-123.745,2000,33.57,,200007,07/08/2000,29510
31.325,-123.745,2000,33.4,,200010,10/23/2000,29576
31.325,-123.741666,2000,33.61,,200004,04/16/2000,29444
31.413333,-121.99,2000,33.35,,200004,04/12/2000,29423
31.415,-121.998333,2000,33.37,,200007,07/03/2000,29489
31.415,-121.99,2000,33.43,,200001,01/12/2000,29357
31.418333,-121.99,2000,33.33,,200010,10/17/2000,29555
31.511666,-120.245,2000,33.49,,200007,07/01/2000,29480
31.516666,-120.245,2000,33.61,,200010,10/14/2000,29546
31.656666,-123.071666,2000,33.41,,200004,04/16/2000,29443
31.658333,-123.078333,2000,33.31,,200007,07/07/2000,29509
31.661666,-123.071666,2000,33.66,,200001,01/17/2000,29377
31.746666,-121.321666,2000,33.56,,200001,01/12/2000,29358
31.756666,-121.315,2000,33.42,,200004,04/12/2000,29424
31.845,-119.576666,2000,33.51,,200010,10/14/2000,29545
31.845,-119.573333,2000,33.49,,200007,07/01/2000,29479
31.846666,-119.573333,2000,33.42,,200001,01/09/2000,29347
31.85,-119.568333,2000,33.4,,200004,04/09/2000,29413
31.911666,-124.171666,2000,33.32,,200010,10/23/2000,29577
31.913333,-124.175,2000,33.6,,200007,07/08/2000,29511
31.915,-124.166666,2000,33.32,,200001,01/17/2000,29379
31.916666,-124.165,2000,33.33,,200004,04/17/2000,29445
31.988333,-122.398333,2000,33.37,,200004,04/16/2000,29442
31.988333,-122.395,2000,33.38,,200007,07/07/2000,29508
31.996666,-122.395,2000,33.36,,200010,10/23/2000,29574
32.003333,-119.238333,2000,33.41,,200001,01/09/2000,29346
32.081666,-120.648333,2000,33.8,,200007,07/04/2000,29491
32.083333,-120.646666,2000,33.44,,200004,04/12/2000,29425
32.086666,-120.631666,2000,33.35,,200010,10/17/2000,29557
32.093333,-120.651666,2000,33.41,,200001,01/12/2000,29359
32.176666,-118.891666,2000,33.56,,200001,01/08/2000,29345
32.185,-118.885,2000,33.57,,200004,04/08/2000,29411
32.19,-118.88,2000,33.76,,200007,06/30/2000,29477
32.248333,-123.49,2000,33.2,,200007,07/08/2000,29512
32.32,-121.721666,2000,33.49,,200010,10/21/2000,29573
32.32,-121.715,2000,33.36,,200004,04/15/2000,29441
32.346666,-118.563333,2000,33.71,,200007,06/30/2000,29476
32.351666,-118.546666,2000,33.54,,200004,04/08/2000,29410
32.415,-119.963333,2000,33.69,,200007,07/04/2000,29492
32.42,-119.963333,2000,33.53,,200004,04/12/2000,29426
32.511666,-118.216666,2000,33.73,,200010,10/13/2000,29541
32.515,-118.221666,2000,33.7,,200007,06/30/2000,29475
32.516666,-118.203333,2000,33.58,,200004,04/08/2000,29409
32.578333,-122.81,2000,33.39,,200001,01/18/2000,29381
32.596666,-122.826666,2000,33.44,,200004,04/17/2000,29447
32.648333,-121.035,2000,33.48,,200004,04/15/2000,29440
32.65,-119.486666,2000,33.53,,200004,04/13/2000,29427
32.653333,-121.04,2000,33.55,,200010,10/21/2000,29572
32.653333,-119.485,2000,33.39,,200010,10/18/2000,29559
32.655,-119.491666,2000,33.78,,200007,07/04/2000,29493
32.68,-117.88,2000,33.77,,200010,10/13/2000,29540
32.683333,-117.875,2000,33.57,,200004,04/08/2000,29408
32.818333,-123.905,2000,33.42,,200010,10/28/2000,29594
32.82,-123.906666,2000,33.26,,200001,01/21/2000,29396
32.82,-123.905,2000,33.3,,200004,04/20/2000,29462
32.843333,-117.54,2000,33.74,,200007,06/29/2000,29473
32.846666,-117.538333,2000,33.55,,200004,04/08/2000,29407
32.908333,-117.403333,2000,33.7,,200007,06/29/2000,29472
32.908333,-117.398333,2000,33.73,,200010,10/12/2000,29538
32.913333,-122.13,2000,33.55,,200004,04/17/2000,29448
32.915,-122.13,2000,33.31,,200007,07/09/2000,29514
32.916666,-118.938333,2000,33.7,,200007,07/05/2000,29494
32.918333,-118.936666,2000,33.54,,200001,01/14/2000,29362
32.92,-118.94,2000,33.72,,200010,10/18/2000,29560
32.923333,-118.94,2000,33.58,,200004,04/13/2000,29428
32.956666,-117.305,2000,33.55,,200010,10/12/2000,29537
32.958333,-117.303333,2000,33.53,,200004,04/07/2000,29405
32.958333,-117.303333,2000,33.59,,200001,01/07/2000,29339
32.986666,-120.356666,2000,33.48,,200010,10/21/2000,29571
32.988333,-120.363333,2000,33.75,,200007,07/06/2000,29505
32.99,-120.348333,2000,33.41,,200001,01/16/2000,29373
33.143333,-120.028333,2000,33.73,,200007,07/06/2000,29504
33.155,-120.01,2000,33.42,,200001,01/16/2000,29372
33.156666,-123.225,2000,33.15,,200007,07/11/2000,29527
33.158333,-120.008333,2000,33.5,,200010,10/20/2000,29570
33.158333,-120.008333,2000,33.63,,200004,04/15/2000,29438
33.165,-123.218333,2000,33.43,,200004,04/20/2000,29461
33.181666,-118.386666,2000,33.66,,200010,10/19/2000,29561
33.188333,-118.393333,2000,33.58,,200001,01/14/2000,29363
33.188333,-118.386666,2000,33.57,,200004,04/13/2000,29429
33.243333,-121.446666,2000,33.23,,200007,07/09/2000,29515
33.245,-121.443333,2000,33.45,,200001,01/18/2000,29383
33.245,-121.443333,2000,33.24,,200004,04/18/2000,29449
33.248333,-121.44,2000,33.47,,200010,10/24/2000,29581
33.253333,-118.248333,2000,33.76,,200010,10/19/2000,29562
33.256666,-118.255,2000,33.57,,200001,01/14/2000,29364
33.323333,-119.666666,2000,33.68,,200004,04/15/2000,29437
33.323333,-119.663333,2000,33.58,,200001,01/15/2000,29371
33.323333,-119.663333,2000,33.49,,200010,10/20/2000,29569
33.386666,-124.326666,2000,33.15,,200007,07/12/2000,29529
33.39,-124.331666,2000,33.01,,200004,04/21/2000,29463
33.39,-124.316666,2000,33.29,,200010,10/28/2000,29595
33.391666,-124.326666,2000,33.23,,200001,01/22/2000,29397
33.418333,-117.908333,2000,33.59,,200001,01/14/2000,29365
33.418333,-117.905,2000,33.58,,200004,04/13/2000,29431
33.418333,-117.905,2000,33.7,,200010,10/19/2000,29563
33.421666,-117.906666,2000,33.61,,200007,07/05/2000,29497
33.483333,-122.541666,2000,33.3,,200007,07/11/2000,29526
33.483333,-117.77,2000,33.69,,200007,07/05/2000,29498
33.483333,-117.766666,2000,33.68,,200010,10/19/2000,29564
33.485,-117.768333,2000,33.63,,200001,01/15/2000,29366
33.495,-119.323333,2000,33.54,,200001,01/15/2000,29370
33.496666,-119.32,2000,33.67,,200004,04/14/2000,29436
33.576666,-120.763333,2000,33.33,,200007,07/09/2000,29516
33.576666,-120.75,2000,33.36,,200004,04/18/2000,29450
33.578333,-120.755,2000,33.59,,200001,01/19/2000,29384
33.578333,-120.751666,2000,33.48,,200010,10/25/2000,29582
33.648333,-118.978333,2000,33.68,,200007,07/06/2000,29501
33.66,-118.978333,2000,33.53,,200001,01/15/2000,29369
33.723333,-123.636666,2000,33.49,,200007,07/12/2000,29530
33.725,-123.633333,2000,33.3,,200001,01/22/2000,29398
33.743333,-120.42,2000,33.61,,200010,10/25/2000,29583
33.745,-120.413333,2000,33.56,,200001,01/19/2000,29385
33.746666,-120.413333,2000,33.64,,200007,07/09/2000,29517
33.748333,-120.41,2000,33.47,,200004,04/18/2000,29451
33.815,-121.841666,2000,33.29,,200004,04/20/2000,29459
33.818333,-121.841666,2000,33.17,,200007,07/11/2000,29525
33.82,-121.85,2000,33.48,,200010,10/27/2000,29591
33.828333,-118.635,2000,33.61,,200004,04/14/2000,29434
33.873333,-120.138333,2000,33.52,,200004,04/18/2000,29452
33.878333,-120.141666,2000,33.64,,200007,07/09/2000,29518
33.886666,-118.496666,2000,33.55,,200010,10/19/2000,29565
33.89,-118.493333,2000,33.67,,200007,07/05/2000,29499
33.89,-118.493333,2000,33.63,,200004,04/14/2000,29433
34.053333,-122.948333,2000,32.96,,200004,04/21/2000,29465
34.053333,-122.936666,2000,33.43,,200010,10/29/2000,29597
34.058333,-122.943333,2000,33.26,,200001,01/22/2000,29399
34.145,-121.151666,2000,33.51,,200010,10/27/2000,29590
34.148333,-121.146666,2000,33.56,,200001,01/20/2000,29392
34.156666,-121.15,2000,33.23,,200007,07/10/2000,29524
34.176666,-119.508333,2000,33.49,,200004,04/19/2000,29454
34.18,-119.526666,2000,33.69,,200007,07/10/2000,29519
34.181666,-119.511666,2000,33.62,,200001,01/19/2000,29387
34.22,-119.411666,2000,33.68,,200007,07/10/2000,29520
34.223333,-119.411666,2000,33.61,,200001,01/19/2000,29388
34.223333,-119.41,2000,33.43,,200004,04/19/2000,29453
34.273333,-120.03,2000,33.73,,200007,07/10/2000,29521
34.273333,-120.026666,2000,33.59,,200001,01/20/2000,29389
34.315,-120.805,2000,33.47,,200007,07/10/2000,29523
34.316666,-120.795,2000,33.56,,200010,10/26/2000,29589
34.333333,-120.813333,2000,33.57,,200001,01/20/2000,29391
